#{"t_start": 1727801181.2607262, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
4067.562417,200,11.001538,32.01562118716424,20.33781208405688
4109.099427,200,14.678641,32.01562118716424,20.545497132920477
3989.056566,200,21.972718,32.01562118716424,19.945282829700815
4085.742011,200,29.00386,32.01562118716424,20.428710055899522
4041.268325,200,34.935515,32.01562118716424,20.206341622503476
4159.750372,200,44.974102,32.01562118716424,20.79875186029122
4177.366631,200,49.809457,32.01562118716424,20.886833155972212
4081.759605,200,59.476158,32.01562118716424,20.40879802542615
4108.41898,200,70.33192,32.01562118716424,20.54209490246766
4102.956445,200,76.503342,32.01562118716424,20.51478222374927
4111.502052,200,90.350013,32.01562118716424,20.557510259434697
4151.678007,200,98.153414,32.01562118716424,20.75839003562863
4183.50942,200,106.202313,32.01562118716424,20.917547101257135
4167.293744,200,110.39902,32.01562118716424,20.836468721092015
4098.323957,200,116.815316,32.01562118716424,20.49161978372382
4090.805529,200,122.289598,32.01562118716424,20.454027643897874
4158.07433,200,127.620697,32.01562118716424,20.790371651298244
4132.386346,200,135.289242,32.01562118716424,20.66193173021182
4149.232455,200,139.458965,32.01562118716424,20.746162277313218
4093.629067,200,143.528862,32.01562118716424,20.468145334524216
